bin_lo,bin_hi,count
0.00,0.20,0
0.20,0.40,0
0.40,0.60,0
0.60,0.80,0
0.80,1.00,1
1.00,1.20,2064
1.20,1.40,52965
1.40,1.60,353387
1.60,1.80,1441085
1.80,2.00,3927813
2.00,2.20,8807992
2.20,2.40,15040507
2.40,2.60,22146086
2.60,2.80,29922454
2.80,3.00,36543340
3.00,3.20,47474759
3.20,3.40,43033937
3.40,3.60,54135793
3.60,3.80,47894294
3.80,4.00,56489226
4.00,4.20,53542309
4.20,4.40,53305320
4.40,4.60,58936773
4.60,4.80,49656090
4.80,5.00,63176931
5.00,5.20,40321993
5.20,5.40,56639301
5.40,5.60,36205779
5.60,5.80,46656155
5.80,6.00,33614492
6.00,6.20,35589800
6.20,6.40,26477624
6.40,6.60,27035033
6.60,6.80,21493996
6.80,7.00,17582649
7.00,7.20,15843867
7.20,7.40,11421597
7.40,7.60,12020569
7.60,7.80,8493843
7.80,8.00,7201950
8.00,8.20,6379067
8.20,8.40,4638783
8.40,8.60,4015497
8.60,8.80,3226109
8.80,9.00,2647273
9.00,9.20,1979926
9.20,9.40,1824370
9.40,9.60,1316614
9.60,9.80,1109558
9.80,10.00,836853
10.00,inf,3285999
